Parametr,Olimpus B,Czy jon,Czy rozcienczalne
Cholesterol,7,0,1
Cholesterol,7,0,1
Cholesterol,7,0,1
Cholesterol,7,0,1
Cholesterol,7,0,1
Cholesterol,7,0,1
Cholesterol,7,0,1
Cholseterol,7,0,1
CK,7,0,1
CK,7,0,1
CK,7,0,1
CK,7,0,1
CK,7,0,1
CK,7,0,1
CK,7,0,1
CK,7,0,1
CK,7,0,1
cTSH,25,0,0
cTSH,25,0,0
cTSH,25,0,0
cTSH,25,0,0
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fosfor nieorganiczny,8,0,1
Fruktozamina,15,0,1
Fruktozamina,15,0,1
Fruktozamina,15,0,1
Fruktozamina,15,0,1
Fruktozamina,15,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
GLDH,29,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Glukoza,2,0,1
Kreatynia,2,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kreatynina,8,0,1
Kwas foliowy,50,0,0
Kwas foliowy,50,0,0
Kwas moczowy,11,0,1
Kwas moczowy,11,0,1
Kwas moczowy,11,0,1
Kwas moczowy,11,0,1
Kwasy żółciowe,7,0,1
Kwasy żółciowe,7,0,1
Kwasy żółciowe,7,0,1
Kwasy żółciowe,7,0,1
Kwasy żółciowe,7,0,1
LDH,2,0,1
LDH,2,0,1
LDH,2,0,1
LDH,2,0,1
LDH,2,0,1
LDH,2,0,1
LDH,2,0,1
Lipaza (DGGR),7,0,1
Lipaza (DGGR),7,0,1
Lipaza (DGGR),7,0,1
Lipaza (DGGR),7,0,1
Lipaza (DGGR),7,0,1
Magnez,7,0,1
Magnez,7,0,1
Magnez,7,0,1
Magnez,7,0,1
Magnez,7,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Mocznik,2,0,1
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
Potas,0,1,0
SDMA,9,0,1
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
Sód,0,1,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 całkowita,20,0,0
T4 wolna,10,0,0
T4 wolna,10,0,0
TLI,20,0,0
Trójglicerydy,2,0,1
Trójglicerydy,2,0,1
Trójglicerydy,2,0,1
Trójglicerydy,2,0,1
Trójglicerydy,2,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Wapń,3,0,1
Witamina B12,75,0,0
Witamina B12,75,0,0
Żelazo,12,0,1
Żelazo,12,0,1
α-amylaza,6,0,1
α-amylaza,6,0,1
α-amylaza,6,0,1
α-amylaza,6,0,1
α-amylaza,6,0,1
γ-GT,4,0,1
γ-GT,4,0,1
γ-GT,4,0,1
γ-GT,4,0,1
γ-GT,4,0,1
γ-GT,4,0,1
γ-GT,4,0,1
γ-GT,4,0,1
γ-GT,4,0,1
Albuminy,2,0,1
ALP,2,0,1
ALT,10,0,1
α-amylaza,6,0,1
AST,10,0,1
Wapń,3,0,1
Cholesterol,7,0,1
CK,7,0,1
Chlorki,0,1,1
Bilirubina bezpośrednia,5,0,1
Fruktozamina,15,0,1
γ-GT,4,0,1
GLDH,29,0,1
Glukoza,2,0,1
Potas,0,1,1
Kreatynina,8,0,1
LDH,2,0,1
Lipaza,7,0,1
Magnez,7,0,1
Sód,20,1,1
Fosfor,8,0,1
Białko całkowite,10,0,1
Bilirubina całkowita,10,0,1
Trójglicerydy,2,0,1
Mocznik,2,0,1
CRP,6,0,1
Żelazo,12,0,1
SAA,7,0,1
SDMA,9,0,1
Kwasy żółciowe,7,0,1
UIBC,13,0,1
Kwas moczowy,11,0,1
T4 całkowita,20,0,0
T4 wolna,10,0,0
TSH,25,0,0
TLI (pies),20,0,0
Witamina B12,75,0,0
Kwas foliowy,50,0,0
ACTH,75,0,0
Kortyzol,10,0,0
Progesteron,25,0,0
Fenobarbital,20,0,0
